time_ms,valid,cx,cy,error_x,error_y,area,command_x_rpm,command_y_rpm,frame_ms
36496,1,199,128,-41,-32,34080,0.0,0.0,230
36702,1,201,119,-39,-41,23973,0.0,0.0,138
36819,1,200,113,-40,-47,34293,0.0,0.0,32
36931,1,200,114,-40,-46,34293,0.0,0.0,17
37049,1,200,115,-40,-45,34293,0.0,0.0,26
37183,1,211,117,-29,-43,34604,5.0,0.0,12
37283,1,233,116,-7,-44,36040,0.0,0.0,37
37383,1,235,117,-5,-43,36252,0.0,0.0,40
37484,1,235,117,-5,-43,36464,0.0,0.0,12
37599,1,235,116,-5,-44,36423,0.0,0.0,19
37716,1,232,116,-8,-44,36040,-5.0,0.0,55
37816,1,209,117,-31,-43,34393,-5.0,0.0,34
37916,1,200,117,-40,-43,34293,0.0,0.0,13
38055,1,205,117,-35,-43,34344,0.0,0.0,13
38184,1,205,117,-35,-43,34344,0.0,0.0,17
38315,1,205,117,-35,-43,34344,0.0,0.0,41
38415,1,211,117,-29,-43,34604,8.29,0.0,40
38517,1,238,117,-2,-43,36252,2.79,0.0,33
38617,1,247,117,7,-43,37275,-1.49,0.0,17
38730,1,244,116,4,-44,36849,-1.28,0.0,27
38837,1,239,116,-1,-44,36849,0.0,0.0,15
38949,1,240,116,0,-44,36849,0.0,0.0,26
39049,1,240,116,0,-44,36849,0.0,0.0,15
39183,1,240,116,0,-44,36849,0.0,0.0,43
39315,1,240,116,0,-44,36636,0.0,0.0,33
39415,1,240,116,0,-44,36636,8.0,0.0,16
39515,1,271,114,31,-46,39130,5.51,0.0,20
39625,1,295,111,55,-49,42240,-1.06,0.0,17
39748,1,281,112,41,-48,40548,-8.42,0.0,25
39849,1,242,115,2,-45,36849,-2.15,0.0,34
39968,1,234,115,-6,-45,36252,1.0,0.0,28
40182,1,236,114,-4,-46,36636,1.0,0.0,18
40315,1,245,114,5,-46,37275,-8.74,0.0,31
40418,1,224,116,-16,-44,35448,-6.73,0.0,19
40549,1,205,114,-35,-46,34344,-3.57,0.0,25
40681,1,209,115,-31,-45,34344,6.5,0.0,33
40781,1,231,115,-9,-45,35828,2.49,0.0,34
40883,1,239,116,-1,-44,36849,0.0,0.0,25
41014,1,241,116,1,-44,37062,0.0,0.0,16
41114,1,242,116,2,-44,37062,0.0,0.0,16
41216,1,242,116,2,-44,36636,0.0,0.0,14
41331,1,242,116,2,-44,36636,0.0,0.0,19
41481,1,242,116,2,-44,36676,0.0,0.0,114
41585,1,242,116,2,-44,36676,0.0,0.0,13
41685,1,243,116,3,-44,36849,0.0,0.0,24
41797,1,242,116,2,-44,36676,0.0,0.0,19
41916,1,242,116,2,-44,36676,0.0,0.0,13
42028,1,242,116,2,-44,36676,7.69,0.0,19
42147,1,250,116,10,-44,37450,7.42,0.0,41
42251,1,278,113,38,-47,40330,2.53,0.0,18
42363,1,274,114,34,-46,39744,-8.59,0.0,18
42480,1,233,116,-7,-44,36252,-1.56,0.0,39
42582,1,229,116,-11,-44,35828,1.87,0.0,33
42714,1,237,116,-3,-44,36252,1.15,0.0,34
42814,1,241,116,1,-44,36888,0.0,0.0,22
42919,1,243,116,3,-44,37062,-8.43,0.0,18
43020,1,224,116,-16,-44,35404,-6.0,0.0,18
43147,1,210,115,-30,-45,34604,-3.51,0.0,43
43254,1,200,115,-40,-45,34132,8.79,0.0,18
43447,1,230,115,-10,-45,35616,3.14,0.0,19
43552,1,248,116,8,-44,37488,-1.5,0.0,18
43664,1,242,116,2,-44,36849,-1.0,0.0,24
43780,1,239,116,-1,-44,36636,0.0,0.0,16
43880,1,239,116,-1,-44,37062,0.0,0.0,17
43980,1,239,116,-1,-44,36636,0.0,0.0,29
44080,1,239,116,-1,-44,36636,0.0,0.0,75
44186,1,239,116,-1,-44,36849,0.0,0.0,15
44313,1,239,116,-1,-44,36636,0.0,0.0,41
44413,1,239,116,-1,-44,36849,0.0,0.0,19
44513,1,239,116,-1,-44,36849,0.0,0.0,15
