time_ms,valid,cx,cy,error_x,error_y,area,command_x_rpm,command_y_rpm,frame_ms
22926,1,206,122,-34,-38,28086,0.0,0.0,35
23426,1,206,122,-34,-38,28259,0.0,0.0,17
24236,1,206,113,-34,-47,28330,0.0,0.0,353
24341,1,206,111,-34,-49,28231,0.0,0.0,18
24447,1,206,111,-34,-49,28259,0.0,0.0,18
24559,1,206,111,-34,-49,28259,0.0,0.0,45
24659,1,206,111,-34,-49,28231,5.0,0.0,27
24759,1,221,111,-19,-49,28162,5.0,0.0,27
24859,1,244,111,4,-49,28477,0.0,0.0,14
24959,1,242,112,2,-48,28514,0.0,0.0,12
25059,1,242,112,2,-48,28514,0.0,0.0,23
25159,1,241,112,1,-48,28526,0.0,0.0,19
25259,1,236,112,-4,-48,28450,-5.0,0.0,12
25359,1,213,113,-27,-47,28252,-5.0,0.0,11
25463,1,207,112,-33,-48,28242,0.0,0.0,15
25592,1,210,112,-30,-48,28335,0.0,0.0,42
25692,1,211,113,-29,-47,28268,0.0,0.0,13
25803,1,210,112,-30,-48,28364,0.0,0.0,19
25926,1,211,113,-29,-47,28364,6.87,0.0,15
26041,1,247,113,7,-47,28635,1.0,0.0,33
26142,1,249,112,9,-48,28614,-2.52,0.0,34
26259,1,242,112,2,-48,28470,-1.32,0.0,46
26391,1,235,113,-5,-47,28372,1.21,0.0,33
26491,1,238,113,-2,-47,28421,1.0,0.0,18
26591,1,239,112,-1,-48,28455,0.0,0.0,12
26691,1,240,113,0,-47,28393,0.0,0.0,14
26795,1,239,112,-1,-48,28491,0.0,0.0,14
26925,1,239,112,-1,-48,28491,0.0,0.0,51
27025,1,242,113,2,-47,28548,10.7,0.0,33
27125,1,261,112,21,-48,28887,4.02,0.0,18
27231,1,275,111,35,-49,29388,1.0,0.0,23
27376,1,274,110,34,-50,29400,1.29,0.0,15
27491,1,275,110,35,-50,29541,-5.88,0.0,40
27591,1,252,111,12,-49,28701,-2.96,0.0,29
27691,1,239,111,-1,-49,28574,1.93,0.0,19
27794,1,245,111,5,-49,28576,-1.31,0.0,14
27924,1,242,111,2,-49,28567,-11.97,0.0,34
28024,1,220,111,-20,-49,28264,-5.38,0.0,22
28126,1,206,110,-34,-50,28330,-1.0,0.0,14
28242,1,211,110,-29,-50,28335,3.77,0.0,18
28357,1,221,111,-19,-49,28212,4.11,0.0,29
28466,1,238,111,-2,-49,28490,-1.62,0.0,17
28577,1,234,111,-6,-49,28407,1.0,0.0,18
28691,1,236,111,-4,-49,28392,1.04,0.0,17
28791,1,238,111,-2,-49,28490,1.0,0.0,32
28904,1,246,111,6,-49,28697,0.0,0.0,30
29008,1,244,111,4,-49,28612,1.76,0.0,22
29122,1,252,111,12,-49,28787,-0.08,0.0,16
29224,1,252,110,12,-50,28801,0.0,0.0,36
29324,1,252,111,12,-49,28702,1.3,0.0,33
29424,1,256,110,16,-50,28916,1.25,0.0,36
29525,1,261,111,21,-49,29007,1.0,0.0,17
29626,1,264,110,24,-50,29107,1.0,0.0,17
29738,1,269,110,29,-50,29205,0.51,0.0,26
29857,1,270,110,30,-50,29293,1.0,0.0,33
29957,1,271,110,31,-50,29306,1.02,0.0,33
30060,1,272,110,32,-50,29388,2.13,0.0,18
30190,1,273,109,33,-51,29299,2.54,0.0,19
30323,1,270,109,30,-51,29256,-4.97,0.0,13
30423,1,247,111,7,-49,28567,-1.23,0.0,36
30523,1,242,111,2,-49,28686,1.38,0.0,39
30625,1,245,111,5,-49,28514,-1.0,0.0,18
30739,1,241,111,1,-49,28504,-1.0,0.0,18
30856,1,239,111,-1,-49,28588,-1.21,0.0,17
30990,1,235,111,-5,-49,28490,0.0,0.0,16
31107,1,233,111,-7,-49,28518,-1.44,0.0,36
31207,1,231,111,-9,-49,28355,-1.11,0.0,18
31312,1,226,111,-14,-49,28371,-1.06,0.0,18
31423,1,224,111,-16,-49,28373,-1.0,0.0,43
31526,1,223,110,-17,-50,28276,-1.74,0.0,18
31639,1,222,110,-18,-50,28373,-2.27,0.0,19
31756,1,222,111,-18,-49,28471,-2.64,0.0,36
31857,1,221,110,-19,-50,28359,-3.19,0.0,18
31973,1,209,110,-31,-50,28326,-1.18,0.0,28
32086,1,203,110,-37,-50,28420,-1.0,0.0,17
32256,1,200,110,-40,-50,28425,-1.0,0.0,33
32356,1,193,109,-47,-51,28499,5.85,0.0,33
32456,1,221,110,-19,-50,28242,3.11,0.0,16
32568,1,231,111,-9,-49,28372,1.0,0.0,18
32674,1,235,111,-5,-49,28504,1.0,0.0,17
32791,1,240,111,0,-49,28588,-1.08,0.0,17
32922,1,239,111,-1,-49,28588,0.0,0.0,30
33033,1,239,111,-1,-49,28588,0.0,0.0,24
33138,1,239,111,-1,-49,28588,0.0,0.0,19
33242,1,239,111,-1,-49,28588,0.0,0.0,14
33355,1,240,111,0,-49,28623,9.68,0.0,45
33455,1,255,111,15,-49,28655,8.41,0.0,35
33555,1,276,110,36,-50,29354,1.71,0.0,28
33655,1,286,110,46,-50,29976,1.0,0.0,34
33758,1,281,109,41,-51,29695,-7.78,0.0,34
33889,1,249,111,9,-49,28531,-1.82,0.0,27
33997,1,236,112,-4,-48,28567,2.07,0.0,18
34122,1,243,111,3,-49,28574,0.0,0.0,31
34222,1,242,111,2,-49,28589,-7.58,0.0,33
34329,1,229,111,-11,-49,28337,-7.7,0.0,23
34455,1,213,112,-27,-48,28266,-2.09,0.0,42
34555,1,211,111,-29,-49,28276,-2.73,0.0,35
34659,1,202,111,-38,-49,28352,6.46,0.0,15
34773,1,229,110,-11,-50,28324,1.0,0.0,17
34921,1,229,112,-11,-48,28355,1.0,0.0,13
35021,1,233,112,-7,-48,28372,1.0,0.0,34
35124,1,237,112,-3,-48,28490,1.0,0.0,39
35240,1,244,111,4,-49,28709,-0.15,0.0,15
35355,1,244,111,4,-49,28624,1.4,0.0,17
35456,1,248,111,8,-49,28600,1.0,0.0,17
35564,1,251,111,11,-49,28798,0.66,0.0,16
35688,1,254,112,14,-48,28826,1.58,0.0,33
35790,1,261,112,21,-48,28966,-0.23,0.0,13
35894,1,262,111,22,-49,29107,1.12,0.0,16
36009,1,265,111,25,-49,29200,1.32,0.0,18
36122,1,268,111,28,-49,29234,1.0,0.0,33
36254,1,273,111,33,-49,29431,0.83,0.0,33
36354,1,275,110,35,-50,20821,0.97,0.0,37
36456,1,277,111,37,-49,29586,1.6,0.0,17
36573,1,277,111,37,-49,29592,2.19,0.0,18
36687,1,275,110,35,-50,29452,-6.6,0.0,42
36787,1,246,112,6,-48,28470,-1.06,0.0,34
36889,1,240,112,0,-48,28526,1.36,0.0,15
37000,1,243,111,3,-49,28576,0.0,0.0,18
37122,1,243,112,3,-48,28612,0.0,0.0,42
37236,1,244,112,4,-48,28589,-1.75,0.0,31
37338,1,235,111,-5,-49,28451,-1.0,0.0,17
37454,1,233,112,-7,-48,28587,-0.68,0.0,17
37587,1,232,112,-8,-48,28290,-2.08,0.0,19
37687,1,225,111,-15,-49,28438,-1.0,0.0,33
37787,1,223,111,-17,-49,28373,-0.51,0.0,38
37887,1,224,111,-16,-49,28373,-1.89,0.0,33
37987,1,223,111,-17,-49,28373,-2.32,0.0,33
38154,1,220,111,-20,-49,28359,-2.52,0.0,33
38269,1,202,110,-38,-50,28362,1.82,0.0,18
38379,1,202,110,-38,-50,28352,-2.16,0.0,17
38487,1,197,110,-43,-50,28398,-0.59,0.0,38
38587,1,194,109,-46,-51,28404,-0.78,0.0,35
38687,1,197,110,-43,-50,28347,8.49,0.0,18
38794,1,228,111,-12,-49,28438,1.0,0.0,23
38905,1,230,111,-10,-49,28468,1.0,0.0,17
39020,1,230,111,-10,-49,28470,1.04,0.0,16
39120,1,235,110,-5,-50,28504,1.0,0.0,37
39220,1,239,110,-1,-50,28476,-0.59,0.0,35
39320,1,240,111,0,-49,28574,0.0,0.0,15
39453,1,240,110,0,-50,28491,0.0,0.0,17
39553,1,240,110,0,-50,28491,0.0,0.0,34
39653,1,240,111,0,-49,28588,5.72,0.0,16
39753,1,245,111,5,-49,28550,10.79,0.0,33
39855,1,271,110,31,-50,29257,2.75,0.0,16
39986,1,280,109,40,-51,29683,1.0,0.0,16
40086,1,277,110,37,-50,29592,-2.32,0.0,33
40186,1,271,109,31,-51,29234,-6.9,0.0,33
40286,1,241,111,1,-49,28483,-1.87,0.0,26
40392,1,235,111,-5,-49,28470,1.0,0.0,15
40505,1,238,111,-2,-49,28407,-0.9,0.0,19
40618,1,234,111,-6,-49,28484,-10.24,0.0,15
40719,1,223,110,-17,-50,28357,-6.88,0.0,33
40819,1,209,109,-31,-51,28315,-2.79,0.0,17
40919,1,198,109,-42,-51,28398,-1.0,0.0,17
41024,1,194,109,-46,-51,28430,9.12,0.0,16
41152,1,232,110,-8,-50,28342,1.0,0.0,18
41252,1,236,111,-4,-49,28587,1.0,0.0,34
41352,1,240,111,0,-49,28588,0.02,0.0,41
41452,1,243,111,3,-49,28589,0.07,0.0,33
41553,1,243,111,3,-49,28589,0.94,0.0,30
41658,1,248,111,8,-49,28734,1.01,0.0,14
41763,1,252,110,12,-50,28702,0.7,0.0,17
41886,1,255,111,15,-49,28826,1.08,0.0,44
42019,1,260,110,20,-50,29107,0.81,0.0,26
42126,1,263,110,23,-50,29107,0.6,0.0,17
42232,1,266,111,26,-49,29071,0.47,0.0,14
42335,1,266,111,26,-49,29259,1.47,0.0,17
42452,1,269,110,29,-50,29205,1.22,0.0,17
42552,1,272,111,32,-49,29293,0.84,0.0,17
42652,1,276,110,36,-50,29483,0.42,0.0,15
42763,1,278,110,38,-50,29676,0.87,0.0,25
42872,1,278,110,38,-50,29586,2.0,0.0,18
42985,1,278,110,38,-50,29586,-6.1,0.0,15
43085,1,267,109,27,-51,29114,-3.68,0.0,20
43185,1,245,112,5,-48,28711,-1.0,0.0,17
43285,1,244,111,4,-49,28673,-1.0,0.0,15
43418,1,241,111,1,-49,28553,-0.25,0.0,13
43518,1,240,111,0,-49,28491,-0.84,0.0,33
43618,1,234,111,-6,-49,28470,-0.79,0.0,16
43723,1,231,111,-9,-49,28355,-0.75,0.0,17
43840,1,227,112,-13,-48,28485,-1.17,0.0,17
43953,1,225,112,-15,-48,28356,-1.06,0.0,35
44084,1,225,112,-15,-48,28356,-1.97,0.0,30
44184,1,225,111,-15,-49,28373,-2.58,0.0,37
44286,1,225,111,-15,-49,28373,-2.73,0.0,33
44402,1,207,110,-33,-50,28338,0.5,0.0,18
44507,1,209,111,-31,-49,28355,-2.02,0.0,20
44620,1,202,110,-38,-50,28342,-1.76,0.0,33
44734,1,194,110,-46,-50,28430,1.0,0.0,16
44851,1,197,111,-43,-49,28398,-1.26,0.0,17
44952,1,195,110,-45,-50,28327,-1.67,0.0,33
45084,1,196,111,-44,-49,28270,8.04,0.0,32
45184,1,228,112,-12,-48,28259,1.79,0.0,27
45285,1,239,112,-1,-48,28407,-1.08,0.0,33
45402,1,239,111,-1,-49,28504,1.06,0.0,22
45512,1,240,111,0,-49,28491,0.64,0.0,17
45651,1,243,111,3,-49,28673,-0.22,0.0,77
45784,1,243,111,3,-49,28673,0.0,0.0,33
45884,1,243,111,3,-49,28673,0.0,0.0,14
45985,1,243,111,3,-49,28673,0.0,0.0,12
46091,1,243,111,3,-49,28673,10.71,0.0,18
46201,1,255,112,15,-48,28841,5.04,0.0,17
46319,1,275,110,35,-50,29521,1.0,0.0,16
46450,1,277,110,37,-50,29483,1.97,0.0,33
46557,1,273,110,33,-50,29261,-7.04,0.0,16
46669,1,241,112,1,-48,28589,1.14,0.0,19
46784,1,245,112,5,-48,28612,-1.68,0.0,17
46917,1,241,111,1,-49,28553,-1.4,0.0,50
47017,1,236,111,-4,-49,28372,-9.66,0.0,33
47150,1,227,111,-13,-49,28371,-8.45,0.0,33
47250,1,191,109,-49,-51,28295,-3.83,0.0,33
47353,1,175,107,-65,-53,28643,7.59,0.0,16
47467,1,209,111,-31,-49,28111,6.05,0.0,13
47583,1,235,111,-5,-49,28601,1.0,0.0,29
47688,1,238,111,-2,-49,28504,1.0,0.0,15
47801,1,239,111,-1,-49,28602,0.68,0.0,23
47916,1,238,111,-2,-49,28504,1.41,0.0,29
48024,1,246,111,6,-49,28598,1.2,0.0,24
48134,1,252,111,12,-49,28787,0.26,0.0,18
48243,1,253,111,13,-49,28787,1.76,0.0,17
48350,1,258,111,18,-49,28955,0.32,0.0,21
48465,1,258,111,18,-49,29016,2.02,0.0,19
48567,1,262,111,22,-49,29007,1.22,0.0,19
48685,1,267,111,27,-49,29200,0.19,0.0,19
48816,1,268,111,28,-49,29293,1.54,0.0,23
48923,1,273,111,33,-49,29388,0.97,0.0,19
49049,1,277,110,37,-50,29483,0.55,0.0,17
49149,1,279,110,39,-50,29586,0.83,0.0,34
49256,1,279,110,39,-50,29586,2.5,0.0,17
49368,1,279,110,39,-50,29688,-4.94,0.0,17
49482,1,256,111,16,-49,28679,-1.24,0.0,15
49582,1,245,112,5,-48,28711,1.14,0.0,34
49682,1,246,112,6,-48,28660,-1.0,0.0,34
49782,1,245,111,5,-49,28602,-1.14,0.0,16
49894,1,242,112,2,-48,28589,-0.51,0.0,29
50016,1,238,111,-2,-49,28491,-1.45,0.0,17
50131,1,232,112,-8,-48,28387,-0.89,0.0,16
50243,1,229,111,-11,-49,28388,-1.31,0.0,19
50355,1,226,112,-14,-48,28356,-1.45,0.0,21
50548,1,224,112,-16,-48,28276,-1.69,0.0,15
50648,1,224,111,-16,-49,28373,-3.1,0.0,35
50748,1,219,111,-21,-49,28359,-3.19,0.0,35
50858,1,206,111,-34,-49,28347,0.78,0.0,20
50966,1,207,111,-33,-49,28355,-2.74,0.0,17
51082,1,196,110,-44,-50,28327,1.0,0.0,15
51182,1,198,110,-42,-50,28330,1.0,0.0,35
51315,1,199,110,-41,-50,28298,-2.41,0.0,33
51418,1,191,109,-49,-51,28504,9.45,0.0,16
51548,1,222,111,-18,-49,28162,1.0,0.0,16
51648,1,229,111,-11,-49,28470,1.0,0.0,34
51750,1,234,111,-6,-49,28504,1.0,0.0,15
51850,1,239,111,-1,-49,28504,-0.82,0.0,15
51981,1,240,111,0,-49,28588,0.28,0.0,52
52082,1,240,111,0,-49,28623,0.0,0.0,22
52189,1,241,111,1,-49,28588,0.0,0.0,26
52295,1,241,111,1,-49,28588,0.0,0.0,20
52415,1,241,111,1,-49,28588,0.0,0.0,40
52548,1,243,112,3,-48,28598,11.65,0.0,32
