time_ms,valid,cx,cy,error_x,error_y,area,command_x_rpm,command_y_rpm,frame_ms
25537,1,217,135,-23,-25,30943,0.0,0.0,12
26049,1,217,135,-23,-25,30943,0.0,0.0,19
26536,1,217,119,-23,-41,30842,0.0,0.0,148
26647,1,217,114,-23,-46,31255,0.0,0.0,18
26767,1,217,114,-23,-46,31255,0.0,0.0,48
26868,1,217,115,-23,-45,31356,0.0,0.0,39
26981,1,222,117,-18,-43,31198,5.0,0.0,20
27101,1,243,117,3,-43,31375,0.0,0.0,24
27201,1,246,116,6,-44,31529,0.0,0.0,12
27307,1,245,116,5,-44,31652,0.0,0.0,14
27421,1,245,117,5,-43,31567,0.0,0.0,17
27534,1,242,116,2,-44,31428,-5.0,0.0,26
27634,1,224,117,-16,-43,31248,-5.0,0.0,31
27734,1,210,116,-30,-44,31127,0.0,0.0,14
27834,1,214,117,-26,-43,31225,0.0,0.0,27
27934,1,214,117,-26,-43,31225,0.0,0.0,11
28034,1,214,117,-26,-43,31123,0.0,0.0,15
28167,1,214,117,-26,-43,31225,5.68,0.0,24
28267,1,229,118,-11,-42,31106,4.28,0.0,34
28367,1,243,117,3,-43,31395,0.0,0.0,33
28473,1,244,117,4,-43,31529,-1.44,0.0,15
28600,1,237,117,-3,-43,31428,0.0,0.0,11
28701,1,238,118,-2,-42,31444,0.0,0.0,21
28814,1,238,118,-2,-42,31444,0.0,0.0,18
28933,1,238,118,-2,-42,31444,0.0,0.0,22
29033,1,238,118,-2,-42,31444,0.0,0.0,16
29133,1,238,117,-2,-43,31480,8.24,0.0,49
29233,1,251,117,11,-43,31696,7.29,0.0,33
29333,1,265,115,25,-45,32078,4.93,0.0,15
29466,1,276,114,36,-46,32622,-6.07,0.0,17
29566,1,251,115,11,-45,31530,-2.91,0.0,34
29666,1,237,116,-3,-44,31532,0.0,0.0,32
29766,1,236,116,-4,-44,31464,1.0,0.0,29
29871,1,240,115,0,-45,31444,0.0,0.0,20
30066,1,240,115,0,-45,31480,0.0,0.0,18
30166,1,239,115,-1,-45,31532,-8.13,0.0,33
30267,1,220,116,-20,-44,31115,-6.66,0.0,29
30372,1,207,116,-33,-44,31239,5.08,0.0,15
30499,1,230,116,-10,-44,31278,2.0,0.0,39
30601,1,238,116,-2,-44,31464,1.0,0.0,34
30713,1,242,116,2,-44,31444,0.0,0.0,33
30814,1,241,116,1,-44,31481,0.0,0.0,20
30932,1,241,116,1,-44,31481,0.0,0.0,12
31032,1,241,116,1,-44,31481,0.0,0.0,11
31152,1,242,116,2,-44,31548,0.0,0.0,50
31266,1,242,116,2,-44,31548,0.0,0.0,44
31366,1,242,116,2,-44,31548,0.0,0.0,14
31466,1,242,116,2,-44,31548,0.0,0.0,16
31577,1,242,116,2,-44,31548,0.0,0.0,20
31686,1,242,117,2,-43,31377,7.68,0.0,17
31799,1,254,116,14,-44,22335,5.97,0.0,16
31908,1,278,114,38,-46,32479,0.25,0.0,15
32022,1,267,114,27,-46,22860,-6.53,0.0,19
32132,1,239,116,-1,-44,31360,-1.0,0.0,12
32232,1,236,116,-4,-44,31360,1.02,0.0,23
32332,1,237,116,-3,-44,31444,1.0,0.0,16
32465,1,241,116,1,-44,31481,0.0,0.0,11
32565,1,242,116,2,-44,31424,-8.38,0.0,37
32665,1,232,116,-8,-44,31229,-7.94,0.0,35
32772,1,208,116,-32,-44,31120,-2.63,0.0,16
32873,1,203,117,-37,-43,31237,8.28,0.0,18
32980,1,238,117,-2,-43,31391,1.0,0.0,17
33080,1,240,117,0,-43,31481,0.0,0.0,12
33198,1,241,117,1,-43,31528,0.0,0.0,15
33298,1,241,117,1,-43,31481,0.0,0.0,33
33398,1,241,117,1,-43,31481,0.0,0.0,11
33502,1,242,117,2,-43,31444,0.0,0.0,19
33610,1,242,117,2,-43,31444,0.0,0.0,20
33716,1,242,117,2,-43,31528,0.0,0.0,74
33831,1,242,117,2,-43,31528,0.0,0.0,25
33931,1,242,117,2,-43,31528,0.0,0.0,27
34031,1,242,117,2,-43,31633,0.0,0.0,33
34131,1,242,117,2,-43,31528,0.0,0.0,33
34237,1,243,117,3,-43,31462,7.6,0.0,15
34365,1,258,116,18,-44,31684,5.09,0.0,21
34498,1,279,114,39,-46,32668,-8.84,0.0,30
34598,1,270,115,30,-45,32118,-10.77,0.0,29
34706,1,222,117,-18,-43,31227,2.96,0.0,21
34816,1,233,116,-7,-44,31360,1.78,0.0,20
34931,1,239,116,-1,-44,31480,0.0,0.0,13
35032,1,240,116,0,-44,31444,0.0,0.0,40
35164,1,240,117,0,-43,31444,-8.26,0.0,32
35264,1,227,116,-13,-44,31139,-6.39,0.0,16
35366,1,206,115,-34,-45,31071,-1.53,0.0,22
35488,1,218,116,-22,-44,31003,7.48,0.0,16
35597,1,248,115,8,-45,31585,1.0,0.0,38
35698,1,247,116,7,-44,31615,-1.83,0.0,16
35804,1,241,116,1,-44,31444,0.0,0.0,14
35918,1,240,116,0,-44,31444,0.0,0.0,19
36030,1,240,116,0,-44,31304,0.0,0.0,36
36130,1,238,116,-2,-44,31444,0.0,0.0,30
36267,1,239,116,-1,-44,31548,0.0,0.0,71
36376,1,239,116,-1,-44,31548,0.0,0.0,13
36497,1,238,116,-2,-44,31360,0.0,0.0,17
36597,1,238,116,-2,-44,31360,0.0,0.0,40
36698,1,239,116,-1,-44,31340,0.0,0.0,11
36813,1,242,116,2,-44,31337,8.34,0.0,32
36914,1,259,115,19,-45,31855,4.98,0.0,28
37025,1,279,113,39,-47,32577,-10.04,0.0,17
37130,1,259,115,19,-45,31703,-9.76,0.0,49
37230,1,224,116,-16,-44,31143,0.0,0.0,33
37338,1,225,116,-15,-44,31246,3.56,0.0,17
37446,1,240,115,0,-45,31548,0.0,0.0,17
37549,1,240,116,0,-44,31444,0.0,0.0,17
37663,1,241,115,1,-45,31480,-8.3,0.0,22
37763,1,227,115,-13,-45,31139,-7.29,0.0,34
37863,1,202,115,-38,-45,31229,-1.36,0.0,39
37963,1,199,115,-41,-45,31316,11.3,0.0,33
38063,1,224,116,-16,-44,30943,7.71,0.0,33
