time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
33443,SQUARE,339,221,240,245,217,107,99,-24,-943,6,48,1,0,7,0,46
33463,SQUARE,334,226,232,276,217,92,102,-50,-944,6,48,1,0,7,0,46
33483,SQUARE,334,226,242,191,211,141,92,35,-941,6,48,1,0,7,0,46
33503,SQUARE,334,226,287,229,185,120,47,-3,-939,6,48,1,0,7,0,46
33523,SQUARE,334,226,289,231,184,119,45,-5,-938,6,48,1,0,7,0,46
33543,SQUARE,334,226,289,231,184,119,45,-5,-936,6,48,1,0,7,0,46
33563,SQUARE,334,226,289,231,184,119,45,-5,-934,6,48,1,0,7,0,46
33583,SQUARE,334,226,246,221,209,123,88,5,-931,6,48,1,0,7,0,46
33603,SQUARE,334,226,287,231,185,119,47,-5,-929,6,48,1,0,7,0,46
33623,SQUARE,334,226,289,231,184,119,45,-5,-927,6,48,1,0,7,0,46
33643,SQUARE,334,226,333,188,158,143,1,38,-924,6,48,1,0,7,0,46
33663,SQUARE,334,226,292,229,182,120,42,-3,-922,6,48,1,0,7,0,46
33683,SQUARE,334,226,290,231,183,119,44,-5,-919,6,48,1,0,7,0,46
33703,SQUARE,334,226,333,221,158,123,1,5,-916,6,48,1,0,7,0,46
33723,SQUARE,334,226,292,231,182,119,42,-5,-913,6,48,1,0,7,0,46
33743,SQUARE,334,226,333,231,158,119,1,-5,-910,6,48,1,0,7,0,46
33763,SQUARE,389,171,292,221,233,74,97,-50,-908,6,48,1,0,7,0,46
33783,SQUARE,389,171,333,187,209,94,56,-16,-904,6,48,1,0,7,0,46
33803,SQUARE,389,171,336,174,207,102,53,-3,-899,6,48,1,0,7,0,46
33823,SQUARE,389,171,336,184,207,96,53,-13,-894,6,48,1,0,7,0,46
33843,SQUARE,389,171,303,174,226,102,86,-3,-889,6,48,1,0,7,0,46
33863,SQUARE,348,212,301,184,190,133,47,28,-885,2,16,1,0,7,0,46
33883,SQUARE,324,236,301,218,168,135,23,18,-881,0,24,1,0,7,0,46
33903,SQUARE,335,225,301,187,177,143,34,38,-877,0,24,1,0,7,0,46
33923,SQUARE,335,225,301,185,177,144,34,40,-873,0,24,1,0,7,0,46
33943,SQUARE,335,225,334,218,158,125,1,7,-870,0,24,1,0,7,0,46
33963,SQUARE,335,225,336,220,158,123,-1,5,-865,0,24,1,0,7,0,46
33983,SQUARE,335,225,292,176,182,149,43,49,-862,0,24,1,0,7,0,46
34003,SQUARE,335,225,290,228,184,120,45,-3,-859,0,24,1,0,7,0,46
34023,SQUARE,315,245,333,220,142,142,-18,25,-856,-3,28,1,0,7,0,46
34043,SQUARE,281,279,292,187,134,192,-11,92,-853,-6,12,1,0,7,0,46
34063,SQUARE,226,334,279,229,91,218,-53,105,-853,-6,12,1,0,7,0,46
34083,SQUARE,226,334,245,242,110,211,-19,92,-852,-6,12,1,0,7,0,46
34103,SQUARE,226,334,276,276,92,191,-50,58,-852,-6,12,1,0,7,0,46
34123,SQUARE,226,334,234,245,117,209,-8,89,-854,-6,12,1,0,7,0,46
34143,SQUARE,226,334,232,287,118,185,-6,47,-855,-6,12,1,0,7,0,46
34163,SQUARE,120,440,232,289,21,281,-112,151,-857,-11,4,1,0,7,0,46
34183,SQUARE,120,440,188,333,46,256,-68,107,-861,-11,4,1,0,7,0,46
34203,SQUARE,120,440,174,303,54,273,-54,137,-867,-11,4,1,0,7,0,46
34223,SQUARE,120,440,130,388,80,224,-10,52,-874,-11,4,1,0,7,0,46
34243,SQUARE,254,306,160,350,185,124,94,-44,-883,-6,12,1,0,7,0,46
34263,SQUARE,226,334,205,315,133,169,21,19,-888,-6,12,1,0,7,0,46
34283,SQUARE,171,389,186,302,95,227,-15,87,-893,-6,12,1,0,7,0,46
34303,SQUARE,171,389,163,388,107,177,8,1,-900,-6,12,1,0,7,0,46
34323,SQUARE,171,389,162,350,108,199,9,39,-907,-6,12,1,0,7,0,46
34343,SQUARE,171,389,129,359,127,194,42,30,-915,-6,12,1,0,7,0,46
34363,SQUARE,171,389,171,348,103,200,0,41,-922,-6,12,1,0,7,0,46
34383,SQUARE,171,389,162,358,108,194,9,31,-929,-6,12,1,0,7,0,46
34403,SQUARE,225,335,162,348,157,151,63,-13,-935,0,24,1,0,7,0,46
34423,SQUARE,225,335,173,337,151,157,52,-2,-940,0,24,1,0,7,0,46
34443,SQUARE,225,335,173,336,151,158,52,-1,-946,0,24,1,0,7,0,46
