time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff
20,STEP_R,0,300,0,43,0,253,0,257,-1
40,STEP_R,0,300,0,198,0,199,0,102,-9
60,STEP_R,0,300,0,284,0,169,0,16,-18
80,STEP_R,0,300,0,289,0,167,0,11,-29
100,STEP_R,0,300,0,333,0,153,0,-33,-39
120,STEP_R,0,300,0,292,0,166,0,8,-50
140,STEP_R,0,300,0,301,0,164,0,-1,-60
160,STEP_R,0,300,0,290,0,167,0,10,-71
180,STEP_R,0,300,0,300,0,164,0,0,-82
200,STEP_R,0,300,0,334,0,153,0,-34,-92
220,STEP_R,0,300,0,292,0,166,0,8,-103
240,STEP_R,0,300,0,333,0,153,0,-33,-114
260,STEP_R,0,300,0,292,0,166,0,8,-124
280,STEP_R,0,300,0,301,0,164,0,-1,-135
300,STEP_R,0,300,0,334,0,153,0,-34,-145
320,STEP_R,0,300,0,292,0,166,0,8,-156
340,STEP_R,0,300,0,333,0,153,0,-33,-167
360,STEP_R,0,300,0,292,0,166,0,8,-177
380,STEP_R,0,300,0,301,0,164,0,-1,-188
400,STEP_R,0,300,0,334,0,153,0,-34,-198
420,STEP_R,0,300,0,292,0,166,0,8,-209
440,STEP_R,0,300,0,333,0,153,0,-33,-220
460,STEP_R,0,300,0,292,0,166,0,8,-230
480,STEP_R,0,300,0,301,0,164,0,-1,-241
500,STEP_R,0,300,0,334,0,153,0,-34,-251
520,STEP_R,0,300,0,292,0,166,0,8,-262
540,STEP_R,0,300,0,333,0,153,0,-33,-273
560,STEP_R,0,300,0,292,0,166,0,8,-283
580,STEP_R,0,300,0,301,0,164,0,-1,-294
600,STEP_R,0,300,0,334,0,153,0,-34,-304
620,STEP_R,0,300,0,292,0,166,0,8,-315
640,STEP_R,0,300,0,333,0,153,0,-33,-326
660,STEP_R,0,300,0,292,0,166,0,8,-336
680,STEP_R,0,300,0,301,0,164,0,-1,-347
700,STEP_R,0,300,0,334,0,153,0,-34,-357
720,STEP_R,0,300,0,292,0,166,0,8,-368
740,STEP_R,0,300,0,333,0,153,0,-33,-379
760,STEP_R,0,300,0,292,0,166,0,8,-389
780,STEP_R,0,300,0,301,0,164,0,-1,-400
800,STEP_R,0,300,0,334,0,153,0,-34,-410
820,STEP_R,0,300,0,292,0,166,0,8,-421
840,STEP_R,0,300,0,333,0,153,0,-33,-432
860,STEP_R,0,300,0,292,0,166,0,8,-442
880,STEP_R,0,300,0,301,0,164,0,-1,-453
900,STEP_R,0,300,0,290,0,167,0,10,-463
920,STEP_R,0,300,0,300,0,164,0,0,-474
940,STEP_R,0,300,0,334,0,153,0,-34,-485
960,STEP_R,0,300,0,292,0,166,0,8,-495
980,STEP_R,0,300,0,301,0,164,0,-1,-506
1000,STEP_R,0,300,0,290,0,167,0,10,-516
1020,STEP_R,0,300,0,300,0,164,0,0,-527
1040,STEP_R,0,300,0,301,0,164,0,-1,-538
1060,STEP_R,0,300,0,290,0,167,0,10,-548
1080,STEP_R,0,300,0,300,0,164,0,0,-559
1100,STEP_R,0,300,0,290,0,167,0,10,-569
1120,STEP_R,0,300,0,300,0,164,0,0,-580
1140,STEP_R,0,300,0,301,0,164,0,-1,-590
1160,STEP_R,0,300,0,290,0,167,0,10,-601
1180,STEP_R,0,300,0,300,0,164,0,0,-612
1200,STEP_R,0,300,0,334,0,153,0,-34,-622
1220,STEP_R,0,300,0,292,0,166,0,8,-633
1240,STEP_R,0,300,0,333,0,153,0,-33,-643
1260,STEP_R,0,300,0,292,0,166,0,8,-654
1280,STEP_R,0,300,0,301,0,164,0,-1,-665
1300,STEP_R,0,300,0,334,0,153,0,-34,-675
1320,STEP_R,0,300,0,292,0,166,0,8,-686
1340,STEP_R,0,300,0,333,0,153,0,-33,-696
1360,STEP_R,0,300,0,292,0,166,0,8,-707
1380,STEP_R,0,300,0,301,0,164,0,-1,-718
1400,STEP_R,0,300,0,334,0,153,0,-34,-728
1420,STEP_R,0,300,0,292,0,166,0,8,-739
1440,STEP_R,0,300,0,301,0,164,0,-1,-749
1460,STEP_R,0,300,0,290,0,167,0,10,-760
1480,STEP_R,0,300,0,300,0,164,0,0,-771
1500,STEP_R,0,300,0,334,0,153,0,-34,-781
1520,STEP_R,0,300,0,292,0,166,0,8,-792
1540,STEP_R,0,300,0,301,0,164,0,-1,-803
1560,STEP_R,0,300,0,290,0,167,0,10,-813
1580,STEP_R,0,300,0,300,0,164,0,0,-824
1600,STEP_R,0,300,0,334,0,153,0,-34,-834
1620,STEP_R,0,300,0,292,0,166,0,8,-845
1640,STEP_R,0,300,0,301,0,164,0,-1,-856
1660,STEP_R,0,300,0,290,0,167,0,10,-866
1680,STEP_R,0,300,0,300,0,164,0,0,-877
1700,STEP_R,0,300,0,334,0,153,0,-34,-887
1720,STEP_R,0,300,0,292,0,166,0,8,-898
1740,STEP_R,0,300,0,301,0,164,0,-1,-909
1760,STEP_R,0,300,0,290,0,167,0,10,-919
1780,STEP_R,0,300,0,300,0,164,0,0,-930
1800,STEP_R,0,300,0,334,0,153,0,-34,-940
1820,STEP_R,0,300,0,292,0,166,0,8,-951
1840,STEP_R,0,300,0,333,0,153,0,-33,-962
1860,STEP_R,0,300,0,292,0,166,0,8,-972
1880,STEP_R,0,300,0,301,0,164,0,-1,-983
1900,STEP_R,0,300,0,334,0,153,0,-34,-993
1920,STEP_R,0,300,0,292,0,166,0,8,-1004
1940,STEP_R,0,300,0,301,0,164,0,-1,-1015
1960,STEP_R,0,300,0,290,0,167,0,10,-1025
1980,STEP_R,0,300,0,300,0,164,0,0,-1036
2000,STEP_R,0,300,0,334,0,153,0,-34,-1047
2020,STEP_R,0,300,0,292,0,166,0,8,-1057
2040,STEP_R,0,300,0,301,0,164,0,-1,-1068
2060,STEP_R,0,300,0,334,0,153,0,-34,-1078
2080,STEP_R,0,300,0,292,0,166,0,8,-1089
2100,STEP_R,0,300,0,333,0,153,0,-33,-1100
2120,STEP_R,0,300,0,292,0,166,0,8,-1110
2140,STEP_R,0,300,0,301,0,164,0,-1,-1121
2160,STEP_R,0,300,0,334,0,153,0,-34,-1131
2180,STEP_R,0,300,0,292,0,166,0,8,-1142
2200,STEP_R,0,300,0,301,0,164,0,-1,-1153
2220,STEP_R,0,300,0,290,0,167,0,10,-1163
2240,STEP_R,0,300,0,300,0,164,0,0,-1174
2260,STEP_R,0,300,0,334,0,153,0,-34,-1185
2280,STEP_R,0,300,0,292,0,166,0,8,-1195
2300,STEP_R,0,300,0,301,0,164,0,-1,-1206
2320,STEP_R,0,300,0,290,0,167,0,10,-1216
2340,STEP_R,0,300,0,300,0,164,0,0,-1227
2360,STEP_R,0,300,0,334,0,153,0,-34,-1238
2380,STEP_R,0,300,0,292,0,166,0,8,-1248
2400,STEP_R,0,300,0,301,0,164,0,-1,-1259
2420,STEP_R,0,300,0,334,0,153,0,-34,-1269
2440,STEP_R,0,300,0,292,0,166,0,8,-1280
2460,STEP_R,0,300,0,333,0,153,0,-33,-1291
2480,STEP_R,0,300,0,336,0,152,0,-36,-1301
