time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff
20,STEP_L,300,0,43,0,377,0,257,0,2
40,STEP_L,300,0,263,0,202,0,37,0,13
60,STEP_L,300,0,342,0,140,0,-42,0,24
80,STEP_L,300,0,304,0,170,0,-4,0,35
100,STEP_L,300,0,290,0,181,0,10,0,46
120,STEP_L,300,0,300,0,173,0,0,0,56
140,STEP_L,300,0,301,0,172,0,-1,0,67
160,STEP_L,300,0,290,0,180,0,10,0,77
180,STEP_L,300,0,333,0,146,0,-33,0,88
200,STEP_L,300,0,336,0,144,0,-36,0,99
220,STEP_L,300,0,292,0,178,0,8,0,109
240,STEP_L,300,0,333,0,146,0,-33,0,120
260,STEP_L,300,0,292,0,178,0,8,0,131
280,STEP_L,300,0,301,0,172,0,-1,0,141
300,STEP_L,300,0,334,0,145,0,-34,0,152
320,STEP_L,300,0,292,0,178,0,8,0,162
340,STEP_L,300,0,333,0,146,0,-33,0,173
360,STEP_L,300,0,292,0,178,0,8,0,184
380,STEP_L,300,0,301,0,172,0,-1,0,194
400,STEP_L,300,0,334,0,145,0,-34,0,205
420,STEP_L,300,0,292,0,178,0,8,0,216
440,STEP_L,300,0,301,0,172,0,-1,0,226
460,STEP_L,300,0,290,0,180,0,10,0,237
480,STEP_L,300,0,300,0,172,0,0,0,247
500,STEP_L,300,0,334,0,145,0,-34,0,258
520,STEP_L,300,0,292,0,178,0,8,0,269
540,STEP_L,300,0,301,0,171,0,-1,0,279
560,STEP_L,300,0,290,0,179,0,10,0,290
580,STEP_L,300,0,300,0,171,0,0,0,300
600,STEP_L,300,0,334,0,144,0,-34,0,311
620,STEP_L,300,0,292,0,177,0,8,0,321
640,STEP_L,300,0,333,0,145,0,-33,0,332
660,STEP_L,300,0,292,0,177,0,8,0,343
680,STEP_L,300,0,301,0,171,0,-1,0,353
700,STEP_L,300,0,334,0,144,0,-34,0,364
720,STEP_L,300,0,292,0,177,0,8,0,374
740,STEP_L,300,0,333,0,145,0,-33,0,385
760,STEP_L,300,0,292,0,177,0,8,0,395
780,STEP_L,300,0,301,0,171,0,-1,0,406
800,STEP_L,300,0,290,0,179,0,10,0,417
820,STEP_L,300,0,300,0,171,0,0,0,427
840,STEP_L,300,0,334,0,144,0,-34,0,438
860,STEP_L,300,0,292,0,177,0,8,0,448
880,STEP_L,300,0,333,0,145,0,-33,0,459
900,STEP_L,300,0,292,0,177,0,8,0,470
920,STEP_L,300,0,301,0,171,0,-1,0,480
940,STEP_L,300,0,290,0,179,0,10,0,491
960,STEP_L,300,0,300,0,171,0,0,0,501
980,STEP_L,300,0,334,0,144,0,-34,0,512
1000,STEP_L,300,0,292,0,177,0,8,0,522
1020,STEP_L,300,0,333,0,145,0,-33,0,533
1040,STEP_L,300,0,292,0,177,0,8,0,544
1060,STEP_L,300,0,301,0,171,0,-1,0,554
1080,STEP_L,300,0,290,0,179,0,10,0,565
1100,STEP_L,300,0,300,0,171,0,0,0,575
1120,STEP_L,300,0,301,0,171,0,-1,0,586
1140,STEP_L,300,0,290,0,179,0,10,0,596
1160,STEP_L,300,0,333,0,145,0,-33,0,607
1180,STEP_L,300,0,336,0,143,0,-36,0,618
1200,STEP_L,300,0,292,0,177,0,8,0,628
1220,STEP_L,300,0,333,0,145,0,-33,0,639
1240,STEP_L,300,0,292,0,177,0,8,0,649
1260,STEP_L,300,0,333,0,145,0,-33,0,660
1280,STEP_L,300,0,336,0,143,0,-36,0,671
1300,STEP_L,300,0,292,0,177,0,8,0,681
1320,STEP_L,300,0,290,0,179,0,10,0,692
1340,STEP_L,300,0,300,0,171,0,0,0,703
1360,STEP_L,300,0,301,0,171,0,-1,0,713
1380,STEP_L,300,0,290,0,179,0,10,0,724
1400,STEP_L,300,0,300,0,171,0,0,0,734
1420,STEP_L,300,0,290,0,179,0,10,0,745
1440,STEP_L,300,0,300,0,170,0,0,0,756
1460,STEP_L,300,0,301,0,170,0,-1,0,766
1480,STEP_L,300,0,290,0,178,0,10,0,776
1500,STEP_L,300,0,333,0,144,0,-33,0,787
1520,STEP_L,300,0,292,0,176,0,8,0,798
1540,STEP_L,300,0,301,0,170,0,-1,0,808
1560,STEP_L,300,0,290,0,178,0,10,0,819
1580,STEP_L,300,0,300,0,170,0,0,0,829
1600,STEP_L,300,0,334,0,143,0,-34,0,840
1620,STEP_L,300,0,292,0,176,0,8,0,850
1640,STEP_L,300,0,333,0,144,0,-33,0,861
1660,STEP_L,300,0,292,0,176,0,8,0,871
1680,STEP_L,300,0,333,0,144,0,-33,0,882
1700,STEP_L,300,0,292,0,176,0,8,0,893
1720,STEP_L,300,0,301,0,170,0,-1,0,903
1740,STEP_L,300,0,290,0,178,0,10,0,914
1760,STEP_L,300,0,300,0,170,0,0,0,924
1780,STEP_L,300,0,334,0,143,0,-34,0,935
1800,STEP_L,300,0,292,0,176,0,8,0,945
1820,STEP_L,300,0,333,0,144,0,-33,0,956
1840,STEP_L,300,0,292,0,176,0,8,0,966
1860,STEP_L,300,0,333,0,144,0,-33,0,977
1880,STEP_L,300,0,292,0,176,0,8,0,988
1900,STEP_L,300,0,301,0,170,0,-1,0,998
1920,STEP_L,300,0,290,0,178,0,10,0,1009
1940,STEP_L,300,0,300,0,169,0,0,0,1019
1960,STEP_L,300,0,334,0,142,0,-34,0,1030
1980,STEP_L,300,0,292,0,175,0,8,0,1040
2000,STEP_L,300,0,333,0,143,0,-33,0,1051
2020,STEP_L,300,0,292,0,175,0,8,0,1061
2040,STEP_L,300,0,333,0,143,0,-33,0,1072
2060,STEP_L,300,0,292,0,175,0,8,0,1082
2080,STEP_L,300,0,333,0,143,0,-33,0,1093
2100,STEP_L,300,0,292,0,175,0,8,0,1103
2120,STEP_L,300,0,333,0,143,0,-33,0,1114
2140,STEP_L,300,0,292,0,175,0,8,0,1125
2160,STEP_L,300,0,301,0,169,0,-1,0,1135
2180,STEP_L,300,0,290,0,177,0,10,0,1146
2200,STEP_L,300,0,300,0,169,0,0,0,1156
2220,STEP_L,300,0,290,0,177,0,10,0,1167
2240,STEP_L,300,0,300,0,169,0,0,0,1177
2260,STEP_L,300,0,290,0,177,0,10,0,1188
2280,STEP_L,300,0,300,0,169,0,0,0,1198
2300,STEP_L,300,0,334,0,142,0,-34,0,1209
2320,STEP_L,300,0,292,0,175,0,8,0,1219
2340,STEP_L,300,0,333,0,143,0,-33,0,1230
2360,STEP_L,300,0,292,0,175,0,8,0,1240
2380,STEP_L,300,0,333,0,143,0,-33,0,1251
2400,STEP_L,300,0,292,0,175,0,8,0,1261
2420,STEP_L,300,0,333,0,143,0,-33,0,1272
2440,STEP_L,300,0,292,0,175,0,8,0,1283
2460,STEP_L,300,0,301,0,169,0,-1,0,1293
2480,STEP_L,300,0,290,0,177,0,10,0,1304
