time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff
2240,STEP_R,0,300,0,333,0,153,0,-33,-1173
2260,STEP_R,0,300,0,336,0,152,0,-36,-1184
2280,STEP_R,0,300,0,292,0,166,0,8,-1194
2300,STEP_R,0,300,0,333,0,153,0,-33,-1205
2320,STEP_R,0,300,0,292,0,166,0,8,-1215
2340,STEP_R,0,300,0,301,0,164,0,-1,-1226
2360,STEP_R,0,300,0,290,0,167,0,10,-1237
2380,STEP_R,0,300,0,300,0,164,0,0,-1247
2400,STEP_R,0,300,0,334,0,153,0,-34,-1258
2420,STEP_R,0,300,0,292,0,166,0,8,-1268
2440,STEP_R,0,300,0,301,0,164,0,-1,-1279
2460,STEP_R,0,300,0,334,0,153,0,-34,-1290
2480,STEP_R,0,300,0,292,0,166,0,8,-1300
