time_ms,valid,cx,cy,error_x,error_y
37527,1,220,101,-20,-59
37639,1,220,101,-20,-59
37757,1,220,101,-20,-59
37857,1,220,101,-20,-59
37957,1,220,101,-20,-59
38059,1,243,100,3,-60
38174,1,257,101,17,-59
38290,1,257,101,17,-59
38392,1,257,101,17,-59
38523,1,257,100,17,-60
38623,1,236,101,-4,-59
38725,1,218,102,-22,-58
38841,1,219,101,-21,-59
38945,1,219,101,-21,-59
39057,1,219,101,-21,-59
39190,1,219,101,-21,-59
39290,1,227,100,-13,-60
39391,1,240,100,0,-60
39506,1,239,101,-1,-59
39606,1,239,101,-1,-59
39716,1,239,101,-1,-59
39823,1,239,101,-1,-59
39923,1,239,101,-1,-59
40023,1,260,100,20,-60
40123,1,276,100,36,-60
40256,1,286,100,46,-60
40356,1,259,101,19,-59
40456,1,246,102,6,-58
40556,1,247,102,7,-58
40656,1,247,101,7,-59
40769,1,246,102,6,-58
40874,1,241,100,1,-60
40989,1,209,101,-31,-59
41090,1,188,99,-52,-61
41206,1,215,99,-25,-61
41322,1,221,101,-19,-59
41423,1,229,101,-11,-59
41538,1,237,101,-3,-59
41655,1,241,100,1,-60
41767,1,247,101,7,-59
41872,1,249,101,9,-59
41989,1,247,101,7,-59
42089,1,241,101,1,-59
42189,1,240,101,0,-59
42289,1,241,101,1,-59
42422,1,240,102,0,-58
42522,1,242,101,2,-59
42622,1,270,100,30,-60
42722,1,286,99,46,-61
42822,1,278,99,38,-61
42922,1,253,102,13,-58
43030,1,252,101,12,-59
43155,1,245,102,5,-58
43255,1,245,101,5,-59
43355,1,243,101,3,-59
43456,1,227,100,-13,-60
43571,1,210,100,-30,-60
43688,1,203,101,-37,-59
43788,1,229,100,-11,-60
43888,1,240,101,0,-59
43988,1,240,101,0,-59
44088,1,239,101,-1,-59
44188,1,239,101,-1,-59
44290,1,239,102,-1,-58
44395,1,240,101,0,-59
44502,1,240,101,0,-59
44621,1,240,101,0,-59
44721,1,240,101,0,-59
44822,1,240,101,0,-59
44937,1,240,101,0,-59
45054,1,240,101,0,-59
45154,1,269,99,29,-61
45254,1,269,100,29,-60
45354,1,273,100,33,-60
45454,1,248,101,8,-59
45554,1,234,101,-6,-59
45657,1,235,101,-5,-59
45787,1,235,100,-5,-60
45887,1,235,101,-5,-59
45987,1,234,101,-6,-59
46097,1,204,100,-36,-60
46220,1,205,100,-35,-60
46320,1,217,101,-23,-59
46420,1,248,100,8,-60
46520,1,247,101,7,-59
46620,1,247,101,7,-59
46720,1,247,101,7,-59
46820,1,247,100,7,-60
46920,1,247,101,7,-59
47023,1,247,101,7,-59
47153,1,247,101,7,-59
47253,1,247,101,7,-59
47353,1,247,101,7,-59
47453,1,247,101,7,-59
47555,1,247,100,7,-60
47686,1,251,100,11,-60
47786,1,280,99,40,-61
47887,1,274,99,34,-61
48003,1,249,101,9,-59
48119,1,250,101,10,-59
48222,1,246,101,6,-59
48336,1,246,101,6,-59
48436,1,246,101,6,-59
48553,1,233,100,-7,-60
48653,1,211,100,-29,-60
48753,1,209,101,-31,-59
48853,1,206,100,-34,-60
48967,1,236,100,-4,-60
49073,1,236,100,-4,-60
49177,1,236,100,-4,-60
49286,1,236,100,-4,-60
49386,1,236,100,-4,-60
49519,1,236,100,-4,-60
49623,1,236,100,-4,-60
49737,1,236,100,-4,-60
49852,1,236,100,-4,-60
49952,1,236,100,-4,-60
50052,1,236,100,-4,-60
50152,1,244,101,4,-59
50253,1,270,99,30,-61
50368,1,270,100,30,-60
50485,1,246,101,6,-59
50586,1,234,100,-6,-60
50702,1,247,100,7,-60
50818,1,249,100,9,-60
50918,1,242,100,2,-60
51052,1,238,100,-2,-60
51152,1,207,101,-33,-59
51252,1,201,100,-39,-60
51352,1,234,99,-6,-61
51457,1,238,100,-2,-60
51585,1,243,100,3,-60
51685,1,248,100,8,-60
51788,1,244,100,4,-60
51899,1,246,101,6,-59
52018,1,246,101,6,-59
52124,1,245,101,5,-59
52228,1,246,100,6,-60
52332,1,246,101,6,-59
52437,1,247,101,7,-59
52541,1,247,101,7,-59
52653,1,255,101,15,-59
52769,1,268,100,28,-60
52884,1,270,100,30,-60
52986,1,247,101,7,-59
53101,1,236,101,-4,-59
53217,1,236,100,-4,-60
53319,1,236,100,-4,-60
53435,1,236,100,-4,-60
53540,1,231,100,-9,-60
53652,1,211,101,-29,-59
53784,1,215,100,-25,-60
53884,1,236,99,-4,-61
53984,1,240,100,0,-60
54084,1,240,100,0,-60
54190,1,240,100,0,-60
54318,1,240,100,0,-60
54433,1,240,100,0,-60
54550,1,240,101,0,-59
54650,1,240,100,0,-60
54750,1,240,100,0,-60
54855,1,240,101,0,-59
