time_ms,valid,cx,cy,error_x,error_y,area
2865627,1,241,205,1,45,39324
2865960,1,241,202,1,42,39098
2866061,1,241,198,1,38,39324
2866173,1,241,199,1,39,39324
2866275,1,241,200,1,40,39324
2866386,1,253,199,13,39,40002
2866493,1,273,198,33,38,41724
2866626,1,281,197,41,37,42966
2866793,1,282,197,42,37,43197
2866893,1,282,197,42,37,42735
2866993,1,266,198,26,38,41268
2867095,1,244,198,4,38,39324
2867195,1,247,198,7,38,39550
2867299,1,247,198,7,38,39550
2867427,1,247,198,7,38,39550
2867559,1,247,198,7,38,39550
2867659,1,247,198,7,38,39550
2867760,1,245,198,5,38,39550
2867880,1,242,198,2,38,39324
2867984,1,242,198,2,38,39324
2868086,1,242,198,2,38,39324
2868192,1,242,198,2,38,39324
2868292,1,242,198,2,38,39324
2868392,1,242,198,2,38,39150
2868492,1,267,198,27,38,29008
2868596,1,285,198,45,38,43010
2868794,1,279,197,39,37,42550
2868906,1,238,198,-2,38,38872
2869025,1,243,198,3,38,39324
2869127,1,243,198,3,38,39324
2869243,1,243,198,3,38,39150
2869348,1,238,197,-2,37,38925
2869460,1,241,198,1,38,38925
2869592,1,265,198,25,38,40860
2869692,1,265,198,25,38,40860
2869792,1,265,198,25,38,40860
2869892,1,265,199,25,39,40860
2869998,1,265,198,25,38,40860
2870127,1,265,198,25,38,40860
2870258,1,265,199,25,39,40860
2870358,1,256,198,16,38,40002
2870458,1,251,198,11,38,39600
2870558,1,247,198,7,38,39150
2870663,1,246,198,6,38,39150
2870769,1,242,198,2,38,27264
2870958,1,241,198,1,38,38925
2871058,1,242,199,2,39,38700
2871159,1,242,199,2,39,38700
2871261,1,260,200,20,40,39825
2871366,1,275,199,35,39,41724
2871492,1,275,198,35,38,41496
2871609,1,247,198,7,38,39200
2871724,1,250,198,10,38,39375
2871825,1,247,198,7,38,39150
2871941,1,243,198,3,38,38976
2872057,1,239,197,-1,37,38528
2872158,1,237,197,-3,37,38304
2872291,1,185,196,-55,36,35840
2872391,1,183,198,-57,38,36064
2872491,1,229,200,-11,40,37856
2872593,1,228,201,-12,41,38304
2872694,1,230,200,-10,40,38080
2872800,1,233,200,-7,40,38080
2872970,1,236,200,-4,40,38528
2873090,1,236,200,-4,40,38475
2873192,1,236,199,-4,39,38700
2873315,1,236,199,-4,39,38700
2873423,1,240,199,0,39,38700
2873524,1,239,199,-1,39,38752
2873657,1,240,198,0,38,38475
2873757,1,240,198,0,38,38475
2873860,1,276,197,36,37,41724
2873973,1,276,197,36,37,41724
2874078,1,242,199,2,39,38976
2874191,1,243,199,3,39,38752
2874323,1,244,198,4,38,38925
2874423,1,242,199,2,39,27264
2874523,1,243,198,3,38,38976
2874623,1,242,199,2,39,38752
2874726,1,214,198,-26,38,37018
2874856,1,208,197,-32,37,36572
2874956,1,212,199,-28,39,36960
2875123,1,230,199,-10,39,37856
2875224,1,274,198,34,38,29250
2875340,1,243,199,3,39,27264
2875445,1,242,198,2,38,38976
2875550,1,243,198,3,38,39150
2875656,1,243,199,3,39,27122
2875756,1,243,199,3,39,39150
2875856,1,246,199,6,39,38976
2875956,1,245,198,5,38,38925
2876056,1,241,198,1,38,38752
2876156,1,240,198,0,38,38752
2876257,1,241,198,1,38,38528
2876374,1,241,198,1,38,38528
2876478,1,241,198,1,38,38528
2876584,1,241,198,1,38,38528
2876689,1,241,198,1,38,38752
2876789,1,274,199,34,39,41496
2876892,1,239,200,-1,40,38528
2877022,1,240,198,0,38,38528
2877201,1,240,199,0,39,38304
2877304,0,0,0,0,0,0
2877407,1,240,199,0,39,26931
2877512,1,240,199,0,39,26931
2877624,1,239,198,-1,38,38528
2877736,1,240,199,0,39,26931
2877837,1,239,198,-1,38,38528
2877945,1,269,199,29,39,40860
2878057,1,270,198,30,38,41040
2878162,1,251,199,11,39,39375
2878290,1,249,199,9,39,27648
2878422,1,241,199,1,39,38752
2878522,1,237,198,-3,38,38528
2878622,1,233,198,-7,38,38304
2878738,1,235,198,-5,38,37856
2878843,1,210,198,-30,38,36349
2878957,1,210,198,-30,38,36572
2879156,1,231,199,-9,39,37856
2879264,1,239,200,-1,40,38528
2879388,1,239,200,-1,40,38528
2879488,1,239,200,-1,40,38528
2879588,1,239,200,-1,40,38528
2879688,1,239,200,-1,40,38528
2879788,1,239,200,-1,40,38528
2879888,1,238,200,-2,40,26931
2879989,1,239,200,-1,40,38528
2880089,1,238,200,-2,40,38304
2880193,1,238,200,-2,40,38304
2880299,1,239,200,-1,40,38528
2880404,1,257,200,17,40,39648
2880521,1,270,200,30,40,41087
2880621,1,268,199,28,39,41268
2880721,1,238,198,-2,38,38528
2880824,1,237,198,-3,38,38528
2880934,1,237,198,-3,38,38528
2881069,1,238,199,-2,39,38752
2881187,1,237,198,-3,38,38700
2881287,1,237,198,-3,38,38528
2881387,1,206,198,-34,38,36349
2881487,1,212,198,-28,38,36795
2881587,1,217,199,-23,39,37184
2881690,1,217,200,-23,40,25976
2881804,1,218,200,-22,40,37241
2881920,1,218,200,-22,40,37241
2882021,1,218,200,-22,40,37408
2882123,1,232,200,-8,40,37687
2882226,1,240,200,0,40,38528
2882354,1,240,200,0,40,38700
